                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3241,                 2.9376,                 2.2268,                 1.5951,                0.27019,                0.33294,                0.22257,                0.09198,                0.26532,                0.32464,                0.21885,                0.09128,                 2.1705,                 3.6083,                 2.7859,                 2.6079,             0.00047387,             0.00047387,             0.00047387
                      2,                 1.4378,                 2.8905,                 2.0071,                 1.6717,                0.33077,                0.26464,                0.19462,                 0.0842,                0.32279,                0.23893,                0.17784,                0.07762,                 2.1575,                 4.0707,                  2.784,                 2.4351,             0.00094079,             0.00094079,             0.00094079
                      3,                 1.4436,                 2.8662,                 1.9603,                 1.6729,                0.31379,                0.37988,                0.30432,                0.13897,                0.34055,                0.35784,                0.27165,                0.12264,                 1.8134,                  3.837,                 2.5246,                 2.1587,              0.0013983,              0.0013983,              0.0013983
                      4,                 1.4075,                  2.831,                 1.8905,                  1.649,                0.41755,                0.40616,                0.35211,                0.20049,                0.41426,                0.39314,                0.34979,                0.18378,                 1.5559,                 2.9507,                 2.1365,                 1.9348,              0.0013866,              0.0013866,              0.0013866
                      5,                 1.3592,                 2.7179,                 1.7946,                 1.6226,                0.40871,                0.41154,                0.35413,                 0.1998,                0.39226,                0.40728,                0.34043,                0.16893,                 1.5342,                 3.0865,                 2.1024,                 1.9837,              0.0013724,              0.0013724,              0.0013724
                      6,                 1.3447,                 2.7006,                 1.7689,                 1.6088,                0.50615,                0.49551,                 0.4826,                0.29153,                0.50961,                0.48363,                0.46665,                0.25741,                 1.4742,                 2.7159,                 1.8683,                 1.8773,              0.0013583,              0.0013583,              0.0013583
                      7,                 1.3011,                  2.665,                  1.723,                 1.5749,                0.43162,                0.47673,                0.44704,                0.26014,                0.42913,                0.45911,                0.43013,                0.24105,                  1.549,                 2.6951,                  2.017,                 1.9166,              0.0013441,              0.0013441,              0.0013441
                      8,                 1.2961,                 2.6635,                 1.7107,                 1.5705,                0.62425,                0.39352,                0.47741,                0.28866,                0.62047,                0.39054,                 0.4545,                0.26381,                 1.5287,                 2.9001,                 1.9527,                 1.9069,                0.00133,                0.00133,                0.00133
                      9,                 1.2712,                 2.5851,                 1.6536,                 1.5407,                0.58074,                0.41161,                0.49718,                0.30077,                0.57378,                 0.4005,                0.49118,                0.28187,                 1.4327,                 2.6966,                 1.8316,                 1.7689,              0.0013158,              0.0013158,              0.0013158
                     10,                  1.239,                 2.5512,                 1.6089,                  1.511,                0.52666,                0.50416,                0.51358,                0.30704,                0.51759,                0.50121,                0.50223,                0.29466,                 1.4467,                 2.5573,                 1.7544,                 1.8157,              0.0013017,              0.0013017,              0.0013017
                     11,                 1.2404,                 2.5255,                 1.5931,                 1.5125,                0.54696,                0.46647,                 0.4906,                0.28287,                0.57312,                0.46857,                0.48936,                0.26778,                 1.4778,                 2.7389,                  1.773,                 1.7849,              0.0012875,              0.0012875,              0.0012875
                     12,                 1.2265,                  2.495,                  1.568,                 1.5102,                0.50326,                0.44939,                0.47903,                0.29527,                0.50542,                0.44655,                0.46985,                0.27301,                 1.4491,                 2.8657,                 1.9797,                  1.832,              0.0012734,              0.0012734,              0.0012734
                     13,                 1.2083,                 2.4678,                 1.5355,                 1.4885,                0.57979,                0.49249,                0.55802,                0.35196,                0.58436,                0.47642,                0.54516,                0.32709,                 1.4007,                 2.5664,                 1.6257,                 1.7778,              0.0012592,              0.0012592,              0.0012592
                     14,                 1.1883,                 2.4351,                 1.5103,                 1.4854,                0.46019,                0.53131,                0.52562,                0.31838,                0.45515,                0.51723,                0.51678,                0.29147,                 1.4161,                 2.5577,                 1.7216,                 1.7588,              0.0012451,              0.0012451,              0.0012451
                     15,                 1.1838,                 2.4382,                 1.4975,                 1.4722,                0.59264,                0.52376,                0.54897,                0.32782,                0.59752,                0.48938,                0.52438,                0.30257,                 1.4632,                  2.608,                 1.5992,                 1.8053,              0.0012309,              0.0012309,              0.0012309
                     16,                 1.1765,                 2.4164,                 1.4913,                 1.4664,                0.50401,                0.53911,                0.54007,                 0.3287,                0.49699,                0.53255,                0.52462,                0.30931,                 1.4281,                 2.6707,                 1.6553,                 1.7757,              0.0012168,              0.0012168,              0.0012168
                     17,                 1.1587,                 2.3731,                 1.4437,                 1.4499,                0.52045,                0.54032,                0.53359,                 0.3265,                0.52729,                0.52928,                0.52577,                0.31032,                 1.3866,                 2.8007,                 1.7361,                 1.7373,              0.0012026,              0.0012026,              0.0012026
                     18,                 1.1553,                 2.3575,                 1.4206,                  1.452,                0.63276,                0.50548,                0.55667,                0.33985,                0.62134,                0.48773,                0.53657,                0.30659,                 1.3705,                 2.7591,                 1.6313,                 1.7314,              0.0011885,              0.0011885,              0.0011885
                     19,                 1.1348,                 2.3546,                 1.4106,                  1.441,                0.57244,                0.52005,                 0.5534,                 0.3169,                0.54963,                0.50257,                0.53073,                0.30577,                 1.4332,                 2.7086,                 1.6668,                 1.7443,              0.0011744,              0.0011744,              0.0011744
                     20,                  1.129,                  2.317,                 1.3885,                 1.4329,                 0.5992,                0.55057,                0.58801,                0.37119,                0.67255,                0.50917,                0.58585,                0.34502,                 1.3752,                 2.5934,                 1.5533,                 1.7247,              0.0011602,              0.0011602,              0.0011602
                     21,                 1.1233,                 2.2966,                 1.3853,                 1.4292,                0.62233,                0.54314,                0.58362,                0.36481,                0.62842,                0.54819,                0.58215,                0.34187,                 1.3539,                 2.5968,                 1.5257,                 1.7078,              0.0011461,              0.0011461,              0.0011461
                     22,                 1.1068,                 2.3027,                 1.3502,                 1.4147,                0.67051,                0.49463,                0.56044,                0.36648,                0.62971,                0.49276,                0.54127,                0.32745,                 1.3506,                 2.7394,                 1.5264,                 1.6776,              0.0011319,              0.0011319,              0.0011319
                     23,                  1.113,                 2.2834,                 1.3641,                 1.4143,                 0.6492,                0.52594,                 0.5823,                0.36648,                0.65753,                0.51384,                0.57155,                0.34572,                 1.3187,                 2.6053,                 1.5635,                 1.6536,              0.0011178,              0.0011178,              0.0011178
                     24,                 1.0943,                 2.2542,                 1.3184,                 1.3962,                 0.5476,                0.55847,                0.54658,                0.33068,                0.56436,                0.53878,                0.54372,                0.31205,                 1.4107,                 2.5884,                 1.6543,                 1.7327,              0.0011036,              0.0011036,              0.0011036
                     25,                 1.0934,                 2.2562,                 1.3301,                 1.4066,                0.64188,                0.50808,                0.59311,                0.37239,                0.63713,                0.49628,                0.57881,                0.35619,                 1.3959,                 2.6917,                 1.4777,                 1.7304,              0.0010895,              0.0010895,              0.0010895
