                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.6589,                0.94961,                 1.2533,                  1.184,                0.86308,                0.97436,                0.95611,                0.72504,                0.86308,                0.97436,                0.95699,                0.76193,                0.82884,                 1.0769,                 1.3929,                 1.5356,             0.00066204,             0.00066204,             0.00066204
                      2,                0.69752,                0.83473,                0.85592,                 1.1852,                0.91676,                0.98291,                0.98801,                0.74332,                   0.94,                0.94872,                 0.9873,                0.71431,                 0.8516,                 1.4014,                0.92316,                 1.5646,              0.0013068,              0.0013068,              0.0013068
                      3,                0.72616,                0.84327,                0.75822,                 1.1983,                0.88346,                 0.9071,                0.93071,                0.55992,                0.91676,                0.94129,                0.95965,                0.69556,                 1.2532,                 0.8497,                0.94631,                 2.2705,              0.0019295,              0.0019295,              0.0019295
                      4,                0.70532,                0.80429,                0.66072,                 1.1826,                0.92934,                0.92308,                0.97751,                0.68401,                0.93683,                0.93162,                 0.9814,                 0.7272,                0.96321,                0.84843,                0.78835,                 1.7046,               0.001901,               0.001901,               0.001901
                      5,                0.64084,                0.79695,                0.57963,                  1.143,                0.98324,                0.96581,                0.99362,                0.83073,                0.97477,                0.99064,                0.99371,                0.87726,                0.66769,                 0.5598,                 0.5305,                 1.3323,               0.001868,               0.001868,               0.001868
                      6,                0.62586,                0.73283,                0.53757,                 1.1299,                      1,                0.99867,                  0.995,                0.83949,                      1,                0.99867,                  0.995,                0.87153,                0.59682,                0.61963,                0.49954,                 1.2618,               0.001835,               0.001835,               0.001835
                      7,                 0.5841,                0.69713,                0.50234,                 1.1028,                      1,                0.99718,                  0.995,                0.87011,                0.99768,                0.98291,                0.99483,                0.87981,                0.57127,                0.76255,                0.46642,                 1.2385,               0.001802,               0.001802,               0.001802
                      8,                0.56432,                0.74359,                0.49102,                 1.0881,                0.98919,                      1,                  0.995,                 0.8792,                0.98919,                      1,                  0.995,                0.89924,                0.52236,                0.50487,                0.39506,                 1.1893,               0.001769,               0.001769,               0.001769
                      9,                0.54984,                 0.6854,                0.47226,                 1.0804,                 0.9812,                0.99145,                0.99353,                0.87505,                 0.9812,                0.99145,                0.99353,                0.90357,                0.54274,                0.47273,                0.41919,                 1.1904,               0.001736,               0.001736,               0.001736
                     10,                0.54675,                0.69442,                0.46354,                 1.0848,                0.99148,                0.99447,                0.99492,                0.86824,                0.99148,                0.99447,                0.99492,                0.91166,                 0.5476,                0.48892,                0.42412,                 1.2146,               0.001703,               0.001703,               0.001703
                     11,                0.53307,                0.63587,                0.44715,                 1.0701,                      1,                0.99896,                  0.995,                0.86221,                      1,                0.99896,                  0.995,                 0.9022,                0.56388,                0.44554,                0.38667,                 1.2078,                0.00167,                0.00167,                0.00167
                     12,                0.51038,                  0.654,                 0.4313,                 1.0505,                0.99713,                      1,                  0.995,                0.89626,                0.99713,                      1,                  0.995,                0.92005,                0.46763,                0.43854,                 0.3393,                   1.12,               0.001637,               0.001637,               0.001637
                     13,                0.50474,                0.66212,                0.42549,                 1.0502,                0.99276,                0.97436,                0.99442,                0.87883,                0.99276,                0.97436,                0.99442,                  0.886,                0.52842,                0.62735,                0.39188,                 1.1845,               0.001604,               0.001604,               0.001604
                     14,                0.50555,                0.61149,                 0.4103,                  1.061,                0.97284,                0.99145,                0.99414,                0.85443,                0.98123,                      1,                0.99449,                0.88625,                0.57347,                0.45834,                0.44377,                 1.2591,               0.001571,               0.001571,               0.001571
                     15,                 0.5105,                0.65059,                0.40952,                 1.0555,                0.99149,                      1,                  0.995,                0.90275,                0.99149,                      1,                  0.995,                0.92003,                 0.4503,                0.45055,                0.30908,                 1.0958,               0.001538,               0.001538,               0.001538
                     16,                0.48494,                0.61564,                0.39358,                 1.0384,                0.97954,                      1,                0.99414,                0.87993,                0.97954,                      1,                0.99414,                0.91025,                0.51871,                0.43444,                0.45137,                  1.177,               0.001505,               0.001505,               0.001505
                     17,                0.47655,                0.61998,                 0.3877,                 1.0333,                0.98868,                      1,                0.99466,                0.89665,                0.98868,                      1,                0.99466,                0.91262,                0.48322,                0.41758,                0.34134,                 1.1287,               0.001472,               0.001472,               0.001472
